["set system host-name CE1", "hostname CE1"]
["set interfaces ge-0/0/0", "interface GigabitEthernet0/0/0"]
["set interfaces ge-0/0/0", "no shutdown"]
["set interfaces ge-0/0/0 unit 0 family inet address 10.1.1.1/30", "end"]
["set interfaces ge-0/0/0 unit 0 family inet address 10.1.1.1/30", "ip address 10.1.1.1 255.255.255.252"]
["set interfaces lo0", "no shutdown"]
["set interfaces lo0 unit 0 family inet address 3.3.3.3/32", "ip address 3.3.3.3 255.255.255.255"]
["set routing-options autonomous-system 65410", "router bgp 65410"]
["set policy-options policy-statement direct-import", "route-map direct-import permit 1"]
["set policy-options policy-statement direct-import term 1 then accept", "bgp confederation identifier 1"]
["set policy-options policy-statement direct-import term 2 then reject", "route-map direct-import deny 2"]
["set policy-options policy-statement direct-import term 2 then reject", "bgp confederation identifier 2"]
["set protocols bgp group external", "neighbor 10.1.1.2 remote-as 100"]
["set protocols bgp group external", "neighbor 10.1.1.2 activate"]
["set protocols bgp group external", "no synchronization"]
["set protocols bgp group external", "address-family ipv4 unicast"]
["set protocols bgp group external", "address-family ipv4"]
["set protocols bgp group external type external", "neighbor 10.1.1.2 remote-as 100"]
["set protocols bgp group external type external", "router bgp 65410"]
["set protocols bgp group external local-address 10.1.1.1", "aaa authentication login external group 10.1.1.1 local"]
["set protocols bgp group external peer-as 100", "neighbor 10.1.1.2 remote-as 100"]
["set protocols bgp group external peer-as 100", "router bgp 65410"]
["set protocols bgp group external neighbor 10.1.1.2", "neighbor 10.1.1.2 remote-as none"]
["set protocols bgp group external neighbor 10.1.1.2", "router bgp 65410"]
["set protocols bgp group external neighbor 10.1.1.2", "neighbor 10.1.1.2 remote-as 100"]
["set protocols bgp group external neighbor 10.1.1.2", "neighbor 10.1.1.2 update-source 10.1.1.1"]
["set protocols bgp group external neighbor 10.1.1.2", "neighbor 10.1.1.2 route-map direct-import in"]
["set protocols bgp group external neighbor 10.1.1.2 import direct-import", "aaa authentication login direct-import group external local"]
["set protocols bgp group external family inet unicast", "address-family ipv4 unicast"]
["set protocols bgp group external family inet unicast", "address-family inet unicast"]
["set protocols bgp group external family inet unicast", "exit-address-family"]
