["set system host-name CE1", "hostname CE1"]
["set vlans vlan-5", "vlan 5"]
["set vlans vlan-5", "name vlan-5"]
["set vlans vlan-5 vlan-id 5", "end"]
["set vlans vlan-9", "vlan 9"]
["set vlans vlan-9", "name vlan-9"]
["set interfaces ge-1/0/1", "interface GigabitEthernet1/0/1"]
["set interfaces ge-1/0/1", "no shutdown"]
["set interfaces ge-1/0/1 unit 0 family ethernet-switching vlan members vlan-5", "switchport"]
["set interfaces ge-1/0/1 unit 0 family ethernet-switching vlan members vlan-5", "switchport access vlan 5"]
["set interfaces ge-1/0/1 unit 0 family ethernet-switching vlan members vlan-5", "switchport trunk allowed vlan 5"]
["set interfaces ge-1/0/1 disable", "ptp notslave disable"]
["set interfaces ge-1/0/2", "interface ge-1/0/2"]
["set interfaces ge-1/0/2", "no shutdown"]
["set interfaces ge-1/0/2 unit 0 family ethernet-switching vlan members vlan-5", "interface GigabitEthernet1/0/2"]
["set interfaces ge-1/0/2 unit 0 family ethernet-switching vlan members vlan-5", "switchport"]
["set interfaces ge-1/0/2 unit 0 family ethernet-switching vlan members vlan-5", "switchport access vlan 5"]
["set interfaces ge-1/0/2 unit 0 family ethernet-switching vlan members vlan-5", "switchport trunk allowed vlan 5"]
["set interfaces ge-1/0/2 disable", "ptp notslave disable"]
["set interfaces ge-1/0/3", "interface ge-1/0/3"]
["set interfaces ge-1/0/3", "no shutdown"]
["set interfaces ge-1/0/3 unit 0 family ethernet-switching vlan members vlan-9", "interface GigabitEthernet1/0/3"]
["set interfaces ge-1/0/3 unit 0 family ethernet-switching vlan members vlan-9", "switchport"]
["set interfaces ge-1/0/3 unit 0 family ethernet-switching vlan members vlan-9", "switchport access vlan 9"]
["set interfaces ge-1/0/3 unit 0 family ethernet-switching vlan members vlan-9", "switchport trunk allowed vlan 9"]
["set interfaces ge-1/0/3 disable", "ptp notslave disable"]
["set interfaces ge-1/0/4", "interface ge-1/0/4"]
["set interfaces ge-1/0/4", "no shutdown"]
["set interfaces ge-1/0/4 unit 0 family ethernet-switching vlan members vlan-9", "interface GigabitEthernet1/0/4"]
["set interfaces ge-1/0/4 unit 0 family ethernet-switching vlan members vlan-9", "switchport"]
["set interfaces ge-1/0/4 unit 0 family ethernet-switching vlan members vlan-9", "switchport access vlan 9"]
["set interfaces ge-1/0/4 unit 0 family ethernet-switching vlan members vlan-9", "switchport trunk allowed vlan 9"]
["set interfaces ge-1/0/4 disable", "ptp notslave disable"]
["set interfaces ge-1/0/5", "interface ge-1/0/5"]
["set interfaces ge-1/0/5", "no shutdown"]
["set interfaces ge-1/0/5 unit 0 family ethernet-switching vlan members vlan-5", "interface GigabitEthernet1/0/5"]
["set interfaces ge-1/0/5 unit 0 family ethernet-switching vlan members vlan-5", "switchport"]
["set interfaces ge-1/0/5 unit 0 family ethernet-switching vlan members vlan-5", "switchport access vlan 5"]
["set interfaces ge-1/0/5 unit 0 family ethernet-switching vlan members vlan-5", "switchport trunk allowed vlan 5"]
["set interfaces ge-1/0/5 unit 0 family ethernet-switching vlan members vlan-9", "switchport"]
["set interfaces ge-1/0/5 unit 0 family ethernet-switching vlan members vlan-9", "switchport access vlan 9"]
["set interfaces ge-1/0/5 unit 0 family ethernet-switching vlan members vlan-9", "switchport trunk allowed vlan 9"]
