["set system host-name DeviceB", "sysname DeviceB"]
["set interfaces ge-3/0/0", "interface GigabitEthernet3/0/0"]
["set interfaces ge-3/0/0", "undo shutdown"]
["set interfaces ge-3/0/0 unit 0 family inet address 2.2.2.2/24", "return"]
["set interfaces ge-3/0/0 unit 0 family inet address 2.2.2.2/24", "ip address 2.2.2.2 255.255.255.0"]
["set interfaces ge-2/0/0", "undo shutdown"]
["set interfaces ge-2/0/0 unit 0 family inet address 3.3.3.1/24", "ip address 3.3.3.1 255.255.255.0"]
["set protocols ospf area 0.0.0.0", "area 0.0.0.0"]
["set protocols ospf area 0.0.0.0 interface ge-3/0/0.0", "ospf 0.0.0.0 router-id ge-3/0/0.0"]
["set protocols ospf area 0.0.0.0 interface ge-3/0/0.0", "undo shutdown"]
["set protocols ospf area 0.0.0.0 interface ge-3/0/0.0", "area 0.0.0.0"]
["set protocols ospf area 0.0.0.0 interface ge-3/0/0.0", "network 0.0.0.0 0.0.0.255"]
["set protocols ospf area 0.0.0.0 interface ge-2/0/0.0", "ospf 1 router-id 0.0.0.0"]
["set protocols ospf area 0.0.0.0 interface ge-2/0/0.0", "undo shutdown"]
["set protocols ospf area 0.0.0.0 interface ge-2/0/0.0", "area 0.0.0.0"]
["set protocols ospf area 0.0.0.0 interface ge-2/0/0.0", "network 0.0.0.0 ge-2/0/0.0"]
