["set system host-name CE4", "sysname CE4"]
["set interfaces ge-1/0/0", "interface GigabitEthernet1/0/0"]
["set interfaces ge-1/0/0", "undo shutdown"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.4.1.1/24", "return"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.4.1.1/24", "ip address 10.4.1.1 255.255.255.0"]
["set interfaces ge-1/0/0 unit 0 enable", "interface ge-1/0/0.0"]
["set routing-options autonomous-system 65440", "bgp 65440"]
["set protocols bgp group external", "user-group external"]
["set protocols bgp group external type external", "bgp 600"]
["set protocols bgp group external neighbor 10.4.1.2 peer-as 100", "bgp 100"]
["set protocols bgp group external neighbor 10.4.1.2 peer-as 100", "peer 10.4.1.2 as-number 100"]
["set protocols bgp group external family inet unicast", "ipv6-family unicast"]
["set protocols bgp group external export redistribute-connected", "ipv4-family unicast"]
["set protocols bgp group external export redistribute-connected", "peer 5.5.5.5 route-policy redistribute-connected export"]
["set policy-options policy-statement redistribute-connected", "traffic-policy 1 inbound"]
["set policy-options policy-statement redistribute-connected term 1 from protocol direct", "traffic policy 1"]
["set policy-options policy-statement redistribute-connected term 1 from protocol direct", "ipv4-family unicast"]
["set policy-options policy-statement redistribute-connected term 1 from protocol direct", "import-route direct"]
["set policy-options policy-statement redistribute-connected then accept", "peer 10.1.1.2 enable"]
["set policy-options policy-statement redistribute-connected then accept", "ipv4-family unicast"]
