["set system host-name DeviceC", "sysname DeviceC"]
["set interfaces ge-1/0/0", "interface GigabitEthernet1/0/0"]
["set interfaces ge-1/0/0", "undo shutdown"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.20.1.1/24", "return"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.20.1.1/24", "ip address 10.20.1.1 255.255.255.0"]
["set protocols bgp group IBGP", "user-group IBGP"]
["set protocols bgp group IBGP type internal", "bgp 600"]
["set protocols bgp group IBGP local-address 10.20.1.1", "peer 10.20.1.1 as-number 0"]
["set protocols bgp group IBGP neighbor 10.20.1.2 peer-as 100", "bgp 100"]
["set protocols bgp group IBGP neighbor 10.20.1.2 peer-as 100", "peer 10.20.1.2 as-number 100"]
["set protocols bgp group IBGP family inet unicast", "ipv6-family unicast"]
["set protocols bgp group IBGP export redistribute-connected", "ipv4-family unicast"]
["set protocols bgp group IBGP export redistribute-connected", "peer 5.5.5.5 route-policy redistribute-connected export"]
["set protocols ospf area 0.0.0.0", "area 0.0.0.0"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/0.0", "ospf 0.0.0.0 router-id ge-1/0/0.0"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/0.0", "undo shutdown"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/0.0", "area 0.0.0.0"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/0.0", "network 0.0.0.0 ge-1/0/0.0"]
["set policy-options policy-statement redistribute-connected", "traffic-policy 1 inbound"]
["set policy-options policy-statement redistribute-connected term 1 from protocol direct", "traffic policy 1"]
["set policy-options policy-statement redistribute-connected term 1 from protocol direct", "ipv4-family unicast"]
["set policy-options policy-statement redistribute-connected term 1 from protocol direct", "import-route direct"]
["set policy-options policy-statement redistribute-connected term 1 then accept", "peer 10.1.1.2 enable"]
["set policy-options policy-statement redistribute-connected term 1 then accept", "ipv4-family unicast"]
