["set system host-name CE1", "sysname CE1"]
["set vlans VLAN2", "vlan batch 2"]
["set interfaces ge-0/0/1", "interface GigabitEthernet0/0/1"]
["set interfaces ge-0/0/1", "undo shutdown"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching port-mode access", "portswitch"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching port-mode access", "port link-type access"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members VLAN2", "return"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members VLAN2", "portswitch"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members VLAN2", "port default vlan 2"]
["set interfaces ge-0/0/1 unit 0 family ethernet-switching vlan members VLAN2", "port trunk allow-pass vlan 2"]
["set interfaces ge-0/0/1 disable", "stp disable"]
["set interfaces ge-0/0/2", "undo shutdown"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching port-mode access", "portswitch"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching port-mode access", "port link-type access"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching vlan members VLAN2", "portswitch"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching vlan members VLAN2", "port default vlan 2"]
["set interfaces ge-0/0/2 unit 0 family ethernet-switching vlan members VLAN2", "port trunk allow-pass vlan 2"]
["set interfaces ge-0/0/2 disable", "stp disable"]
["set interfaces ge-0/0/3", "undo shutdown"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching port-mode trunk", "portswitch"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching port-mode trunk", "port link-type trunk"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching vlan members VLAN2", "portswitch"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching vlan members VLAN2", "port default vlan 2"]
["set interfaces ge-0/0/3 unit 0 family ethernet-switching vlan members VLAN2", "port trunk allow-pass vlan 2"]
