["set system host-name SSH_Server", "sysname SSH_Server"]
["set system domain-name example.com", "ip domain-name example.com"]
["set system services ssh", "stelnet server enable"]
["set system services ssh", "ssh server cipher aes128_ctr aes192_ctr aes256_ctr"]
["set system services ssh", "ssh server protocol v2"]
["set system services ssh protocol-version v2", "ssh server version 2"]
["set system services ssh ciphers aes128-ctr", "ssh client cipher aes128-ctr aes192-ctr aes256-ctr"]
["set system services ssh ciphers aes192-ctr", "ssh client cipher aes192-ctr none none"]
["set system services ssh ciphers aes256-ctr", "ssh client cipher aes256-ctr aes192-ctr aes128-ctr"]
["set interfaces lo0", "interface LoopBack0"]
["set interfaces lo0", "undo shutdown"]
["set interfaces lo0 unit 0 family inet address 10.1.1.1/32", "return"]
["set interfaces lo0 unit 0 family inet address 10.1.1.1/32", "ip address 10.1.1.1 255.255.255.255"]
["set interfaces ge-0/0/0", "undo shutdown"]
["set interfaces ge-0/0/0 unit 0 family inet address 10.1.1.2/16", "ip address 10.1.1.2 255.255.0.0"]
["set interfaces ge-0/0/0 unit 0 disable", "interface ge-0/0/0.0"]
["set system login user client001", "user-group client001"]
["set system login user client001 class super-user", "local-user client001 class manage"]
["set system login user client001 class super-user", "local-user client001 privilege level 15"]
["set system login user client001 authentication plain-text-password", "Sysname client001"]
