["set system host-name CE2", "sysname CE2"]
["set interfaces ge-0/0/1", "interface GigabitEthernet0/0/1"]
["set interfaces ge-0/0/1", "undo shutdown"]
["set interfaces ge-0/0/1 unit 0 family inet address 10.1.2.1/24", "return"]
["set interfaces ge-0/0/1 unit 0 family inet address 10.1.2.1/24", "ip address 10.1.2.1 255.255.255.0"]
["set protocols bgp group CE2_to_Peer", "user-group CE2_to_Peer"]
["set protocols bgp group CE2_to_Peer type external", "bgp 600"]
["set protocols bgp group CE2_to_Peer peer-as 100", "bgp 100"]
["set protocols bgp group CE2_to_Peer peer-as 100", "peer 100 ebgp-max-hop 255"]
["set protocols bgp group CE2_to_Peer neighbor 10.1.2.2", "peer 10.1.2.2 as-number 100"]
["set protocols bgp group CE2_to_Peer family inet unicast", "ipv6-family unicast"]
["set protocols bgp group CE2_to_Peer family inet unicast prefix-limit 10.1.2.0/24", "ip ip-prefix CE2_to_Peer_PL index 10 permit 10.1.2.0 24"]
["set protocols bgp group CE2_to_Peer family inet unicast prefix-limit 10.1.2.0/24", "peer 10.1.2.2 ip-prefix CE2_to_Peer_PL import"]
