["set system host-name DeviceA", "sysname DeviceA"]
["set interfaces ge-1/0/0", "interface GigabitEthernet1/0/0"]
["set interfaces ge-1/0/0", "undo shutdown"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.1.1.2/24", "return"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.1.1.2/24", "ip address 10.1.1.2 255.255.255.0"]
["set interfaces ge-1/0/1", "undo shutdown"]
["set interfaces ge-1/0/1 unit 0 family inet address 10.1.2.1/24", "ip address 10.1.2.1 255.255.255.0"]
["set protocols ospf area 0.0.0.0", "area 0.0.0.0"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/0.0", "ospf 0.0.0.0 router-id ge-1/0/0.0"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/0.0", "undo shutdown"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/0.0", "area 0.0.0.0"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/0.0", "network 0.0.0.0 ge-1/0/0.0"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/1.0", "ospf 0.0.0.0 router-id ge-1/0/1.0"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/1.0", "undo shutdown"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/1.0", "area 0.0.0.0"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/1.0", "network 0.0.0.0 255.255.255.255"]
