["set system host-name CE1", "sysname CE1"]
["set vlans vlan10", "vlan batch 10"]
["set vlans vlan10 vlan-id 10", "return"]
["set interfaces ge-1/0/0", "interface GigabitEthernet1/0/0"]
["set interfaces ge-1/0/0", "undo shutdown"]
["set interfaces ge-1/0/0 unit 0 family ethernet-switching port-mode trunk", "portswitch"]
["set interfaces ge-1/0/0 unit 0 family ethernet-switching port-mode trunk", "port link-type trunk"]
["set interfaces ge-1/0/0 unit 0 family ethernet-switching vlan members vlan10", "portswitch"]
["set interfaces ge-1/0/0 unit 0 family ethernet-switching vlan members vlan10", "port default vlan 10"]
["set interfaces ge-1/0/0 unit 0 family ethernet-switching vlan members vlan10", "port trunk allow-pass vlan 10"]
["set interfaces ge-2/0/0", "undo shutdown"]
["set interfaces ge-2/0/0 unit 0 family ethernet-switching port-mode trunk", "portswitch"]
["set interfaces ge-2/0/0 unit 0 family ethernet-switching port-mode trunk", "port link-type trunk"]
["set interfaces ge-2/0/0 unit 0 family ethernet-switching vlan members vlan10", "portswitch"]
["set interfaces ge-2/0/0 unit 0 family ethernet-switching vlan members vlan10", "port default vlan 10"]
["set interfaces ge-2/0/0 unit 0 family ethernet-switching vlan members vlan10", "port trunk allow-pass vlan 10"]
