["set system host-name LSRB", "sysname LSRB"]
["set interfaces ge-1/0/1", "interface GigabitEthernet1/0/1"]
["set interfaces ge-1/0/1", "undo shutdown"]
["set interfaces ge-1/0/1 unit 0 family inet address 10.1.2.1/24", "return"]
["set interfaces ge-1/0/1 unit 0 family inet address 10.1.2.1/24", "ip address 10.1.2.1 255.255.255.0"]
["set interfaces ge-1/0/3", "undo shutdown"]
["set interfaces ge-1/0/3 unit 0 family inet address 10.1.1.2/24", "ip address 10.1.1.2 255.255.255.0"]
["set interfaces lo0", "undo shutdown"]
["set interfaces lo0 unit 0 family inet address 2.2.2.9/32", "ip address 2.2.2.9 255.255.255.255"]
["set protocols mpls interface ge-1/0/1.0", "mpls"]
["set protocols mpls interface ge-1/0/1.0", "mpls ldp"]
["set protocols mpls interface ge-1/0/3.0", "mpls ldp"]
["set protocols ldp router-id 2.2.2.9", "router id 2.2.2.9"]
["set protocols ospf area 0.0.0.0", "area 0.0.0.0"]
["set protocols ospf area 0.0.0.0 interface lo0.0", "ospf 1 router-id 0.0.0.0"]
["set protocols ospf area 0.0.0.0 interface lo0.0", "undo shutdown"]
["set protocols ospf area 0.0.0.0 interface lo0.0", "area 0.0.0.0"]
["set protocols ospf area 0.0.0.0 interface lo0.0", "network 0.0.0.0 255.255.255.255"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/1.0", "ospf 0.0.0.0 router-id ge-1/0/1.0"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/1.0", "undo shutdown"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/1.0", "area 0.0.0.0"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/1.0", "network 0.0.0.0 ge-1/0/1.0"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/3.0", "ospf 0.0.0.0 router-id ge-1/0/3.0"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/3.0", "undo shutdown"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/3.0", "area 0.0.0.0"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/3.0", "network 0.0.0.0 ge-1/0/3.0"]
