["set system host-name DeviceD", "sysname DeviceD"]
["set protocols ospf area 0.0.0.2", "area 0.0.0.2"]
["set protocols ospf area 0.0.0.2 interface ge-0/0/0", "interface GigabitEthernet0/0/0"]
["set protocols ospf area 0.0.0.2 interface ge-0/0/0", "return"]
["set protocols ospf area 0.0.0.2 interface ge-0/0/0", "ospf 0.0.0.2 router-id ge-0/0/0"]
["set protocols ospf area 0.0.0.2 interface ge-0/0/0", "undo shutdown"]
["set protocols ospf area 0.0.0.2 interface ge-0/0/0", "area 0.0.0.2"]
["set protocols ospf area 0.0.0.2 interface ge-0/0/0", "network 0.0.0.2 ge-0/0/0"]
["set protocols ospf area 0.0.0.2 interface ge-0/0/1", "interface GigabitEthernet0/0/1"]
["set protocols ospf area 0.0.0.2 interface ge-0/0/1", "ospf 1 router-id 0.0.0.2"]
["set protocols ospf area 0.0.0.2 interface ge-0/0/1", "undo shutdown"]
["set protocols ospf area 0.0.0.2 interface ge-0/0/1", "area 0.0.0.2"]
["set protocols ospf area 0.0.0.2 interface ge-0/0/1", "network 0.0.0.2 ge-0/0/1"]
["set routing-options router-id 4.4.4.4", "router id 4.4.4.4"]
["set routing-options router-id 4.4.4.4", "ospf 1 router-id 4.4.4.4"]
["set routing-options router-id 4.4.4.4", "mpls lsr-id 4.4.4.4"]
["set interfaces ge-0/0/0", "undo shutdown"]
["set interfaces ge-0/0/0 unit 0 family inet address 192.168.2.2/24", "ip address 192.168.2.2 255.255.255.0"]
["set interfaces ge-0/0/0 enable", "stp enable"]
["set interfaces ge-0/0/1", "undo shutdown"]
["set interfaces ge-0/0/1 unit 0 family inet address 172.17.1.1/24", "ip address 172.17.1.1 255.255.255.0"]
["set interfaces ge-0/0/1 enable", "stp enable"]
