["set system host-name CE2", "sysname CE2"]
["set vlans vlan-10", "vlan batch 10"]
["set interfaces ae1", "interface GigabitEthernet1/0/1"]
["set interfaces ae1", "undo shutdown"]
["set interfaces ae1 aggregated-ether-options", "interface Eth-Trunk1"]
["set interfaces ae1 aggregated-ether-options", "eth-trunk 1"]
["set interfaces ge-1/0/0", "interface GigabitEthernet1/0/0"]
["set interfaces ge-1/0/0", "undo shutdown"]
["set interfaces ge-1/0/0 enable", "return"]
["set interfaces ge-1/0/0 enable", "stp enable"]
["set interfaces ge-1/0/0 ether-options 802.3ad ae1", "eth-trunk 1"]
