["set system host-name CE1", "sysname CE1"]
["set interfaces ge-1/0/1", "interface GigabitEthernet1/0/1"]
["set interfaces ge-1/0/1", "undo shutdown"]
["set interfaces ge-1/0/1 vlan-tagging", "multicast user-aggregation vlan 81"]
["set interfaces ge-1/0/1 unit 1 vlan-id 1", "return"]
["set interfaces ge-1/0/1 unit 1 vlan-id 1", "vlan-type dot1q 1"]
["set interfaces ge-1/0/1 unit 1 family inet address 192.168.1.2/24", "ip address 192.168.1.2 255.255.255.0"]
["set interfaces ge-1/0/2", "undo shutdown"]
["set interfaces ge-1/0/2 vlan-tagging", "multicast user-aggregation vlan 81"]
["set interfaces ge-1/0/2 unit 1 vlan-id 1", "vlan-type dot1q 1"]
["set interfaces ge-1/0/2 unit 1 family inet address 172.16.1.2/24", "ip address 172.16.1.2 255.255.255.0"]
["set routing-options autonomous-system 65410", "bgp 65410"]
["set routing-options router-id 192.168.1.2", "router id 192.168.1.2"]
["set routing-options router-id 192.168.1.2", "ospf 1 router-id 192.168.1.2"]
["set routing-options router-id 192.168.1.2", "mpls lsr-id 192.168.1.2"]
["set policy-options policy-statement IMPORT-DIRECT", "traffic-policy 1 inbound"]
["set policy-options policy-statement IMPORT-DIRECT term 1 from protocol direct", "traffic policy 1"]
["set policy-options policy-statement IMPORT-DIRECT term 1 from protocol direct", "ipv4-family unicast"]
["set policy-options policy-statement IMPORT-DIRECT term 1 from protocol direct", "import-route direct"]
["set policy-options policy-statement IMPORT-DIRECT term 1 then accept", "peer 10.1.1.2 enable"]
["set policy-options policy-statement IMPORT-DIRECT term 1 then accept", "ipv4-family unicast"]
["set protocols bgp group EBGP", "user-group EBGP"]
["set protocols bgp group EBGP type external", "bgp 600"]
["set protocols bgp group EBGP peer-as 100", "bgp 100"]
["set protocols bgp group EBGP peer-as 100", "peer 100 ebgp-max-hop 255"]
["set protocols bgp group EBGP neighbor 192.168.1.1", "peer 192.168.1.1 as-number 100"]
["set protocols bgp group EBGP neighbor 172.16.1.1", "peer 172.16.1.1 as-number 100"]
["set protocols bgp group EBGP export IMPORT-DIRECT", "ipv4-family unicast"]
["set protocols bgp group EBGP export IMPORT-DIRECT", "peer 5.5.5.5 route-policy IMPORT-DIRECT export"]
