["set system host-name DeviceA", "sysname DeviceA"]
["set system authentication-order tacplus", "radius-server none auth-port tacplus acct-port none"]
["set system authentication-order password", "radius-server none auth-port 1812 acct-port 1813"]
["set system login user nms2-admin", "user-group nms2-admin"]
["set system login user nms2-admin authentication encrypted-password \"$1$gXnG$Oa1s4f1Sx6lQ4z1mGAb7Q1\"", "ospf 1"]
["set system login user nms2-admin authentication encrypted-password \"$1$gXnG$Oa1s4f1Sx6lQ4z1mGAb7Q1\"", "area 0.0.0.0"]
["set system login user nms2-admin authentication encrypted-password \"$1$gXnG$Oa1s4f1Sx6lQ4z1mGAb7Q1\"", "network 1.1.2.0 0.0.0.255"]
["set snmp v3 usm local-engine user nms2-admin", "snmp-agent local-user v3 nms2-admin authentication-mode sha cipher %#%#n}=%C*UimYlx9-:$>T=*_y4PX*e~u6I_Aa9s=I1$%#%# privacy-mode aes128 cipher %#%#at{pQGh!uMyq..8WSJ(<bU`~K_)[f-}s&*Gmw!iE%#%#"]
["set snmp v3 usm local-engine user nms2-admin authentication-sha \"%$%$n}=%C*UimYlx9-:$>T=*_y4PX*e~u6I_Aa9s=I1$%$%\" privacy-aes128 \"%$%$at{pQGh!uMyq..8WSJ(<bU`~K_)[f-}s&*Gmw!iE%$%$\"", "snmp-agent local-user v3 nms2-admin authentication-mode sha cipher %$%$n}=%C*UimYlx9-:$>T=*_y4PX*e~u6I_Aa9s=I1$%$% privacy-mode aes128 cipher %$%$at{pQGh!uMyq..8WSJ(<bU`~K_)[f-}s&*Gmw!iE%$%$"]
["set snmp community public", "snmp-agent local-user v3 public authentication-mode none cipher none privacy-mode none cipher none"]
["set snmp community public authorization read-only", "ssh authentication-type default read-only"]
["set snmp trap-options link-down", "snmp-agent protocol source-interface Loopback0"]
["set interfaces ge-0/0/0", "interface GigabitEthernet0/0/0"]
["set interfaces ge-0/0/0", "undo shutdown"]
["set interfaces ge-0/0/0 unit 0 family inet address 1.1.2.1/24", "return"]
["set interfaces ge-0/0/0 unit 0 family inet address 1.1.2.1/24", "ip address 1.1.2.1 255.255.255.0"]
["set interfaces lo0", "undo shutdown"]
["set interfaces lo0 unit 0 family inet address 1.1.3.1/32", "ip address 1.1.3.1 255.255.255.255"]
["set protocols ospf area 0.0.0.0", "area 0.0.0.0"]
["set protocols ospf area 0.0.0.0 interface ge-0/0/0", "ospf 0.0.0.0 router-id ge-0/0/0"]
["set protocols ospf area 0.0.0.0 interface ge-0/0/0", "undo shutdown"]
["set protocols ospf area 0.0.0.0 interface ge-0/0/0", "area 0.0.0.0"]
["set protocols ospf area 0.0.0.0 interface ge-0/0/0", "network 0.0.0.0 ge-0/0/0"]
["set protocols ospf area 0.0.0.0 interface lo0.0", "ospf 1 router-id 0.0.0.0"]
["set protocols ospf area 0.0.0.0 interface lo0.0", "undo shutdown"]
["set protocols ospf area 0.0.0.0 interface lo0.0", "area 0.0.0.0"]
["set protocols ospf area 0.0.0.0 interface lo0.0", "network 0.0.0.0 255.255.255.255"]
["set snmp trap-group default", "lns-group default"]
["set snmp trap-group default targets 1.1.2.1", "bind source LoopBack0"]
["set snmp trap-group default version v3", "interface mp-group v3"]
["set snmp trap-group default version v3", "ip address v3 none"]
["set snmp trap-group default categories authentication", "lns-group group1"]
["set snmp trap-group default categories link", "lns-group link"]
["set snmp trap-group default categories warm-start", "lns-group warm-start"]
["set snmp trap-group default categories cold-start", "lns-group cold-start"]
["set snmp trap-group default categories entity", "lns-group entity"]
["set snmp trap-group default categories rtr", "lns-group rtr"]
["set snmp contact \"Operator", "snmp-agent sys-info contact Operator"]
