["set system host-name CE2", "sysname CE2"]
["set interfaces ge-1/0/0", "interface GigabitEthernet1/0/0"]
["set interfaces ge-1/0/0", "undo shutdown"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.2.1.1/24", "return"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.2.1.1/24", "ip address 10.2.1.1 255.255.255.0"]
["set interfaces lo0", "undo shutdown"]
["set interfaces lo0 unit 1 family inet address 10.22.2.2/32", "ip address 10.22.2.2 255.255.255.255"]
["set protocols bgp group external-peers", "user-group external-peers"]
["set protocols bgp group external-peers type external", "bgp 600"]
["set protocols bgp group external-peers peer-as 100", "bgp 100"]
["set protocols bgp group external-peers peer-as 100", "peer 100 ebgp-max-hop 255"]
["set protocols bgp group external-peers neighbor 10.2.1.2", "bgp 100"]
["set protocols bgp group external-peers neighbor 10.2.1.2", "peer 10.2.1.2 as-number 100"]
["set protocols bgp group external-peers neighbor 10.2.1.2", "peer 10.2.1.2 enable"]
["set protocols bgp group external-peers family inet unicast", "ipv6-family unicast"]
["set protocols bgp group external-peers neighbor 10.2.1.2 family inet unicast", "ipv6-family unicast"]
["set protocols bgp group external-peers export advertise-lo0", "ipv4-family unicast"]
["set protocols bgp group external-peers export advertise-lo0", "peer 5.5.5.5 route-policy advertise-lo0 export"]
["set policy-options policy-statement advertise-lo0", "traffic-policy 1 inbound"]
["set policy-options policy-statement advertise-lo0 term 1 from route-filter 10.22.2.2/32 exact", "ipv4-family unicast"]
["set policy-options policy-statement advertise-lo0 term 1 from route-filter 10.22.2.2/32 exact", "peer 10.22.2.2 enable"]
["set policy-options policy-statement advertise-lo0 term 1 from route-filter 10.22.2.2/32 exact", "undo synchronization"]
["set policy-options policy-statement advertise-lo0 term 1 from route-filter 10.22.2.2/32 exact", "import-route direct"]
["set policy-options policy-statement advertise-lo0 term 1 then accept", "traffic policy 1"]
["set policy-options policy-statement advertise-lo0 term 1 then accept", "peer 10.1.1.2 enable"]
["set policy-options policy-statement advertise-lo0 term 1 then accept", "ipv4-family unicast"]
