["set system host-name CE2", "sysname CE2"]
["set interfaces ge-1/0/0", "interface GigabitEthernet1/0/0"]
["set interfaces ge-1/0/0", "undo shutdown"]
["set interfaces ge-1/0/0 unit 0 family ethernet-switching port-mode access", "portswitch"]
["set interfaces ge-1/0/0 unit 0 family ethernet-switching port-mode access", "port link-type access"]
["set interfaces ge-1/0/0 unit 0 family ethernet-switching vlan members 10", "return"]
["set interfaces ge-1/0/0 unit 0 family ethernet-switching vlan members 10", "portswitch"]
["set interfaces ge-1/0/0 unit 0 family ethernet-switching vlan members 10", "port default vlan 10"]
["set interfaces ge-1/0/0 unit 0 family ethernet-switching vlan members 10", "port trunk allow-pass vlan 10"]
["set interfaces ge-1/0/0 enable", "stp enable"]
["set interfaces ge-2/0/0", "undo shutdown"]
["set interfaces ge-2/0/0 unit 0 family ethernet-switching port-mode access", "portswitch"]
["set interfaces ge-2/0/0 unit 0 family ethernet-switching port-mode access", "port link-type access"]
["set interfaces ge-2/0/0 unit 0 family ethernet-switching vlan members 10", "portswitch"]
["set interfaces ge-2/0/0 unit 0 family ethernet-switching vlan members 10", "port default vlan 10"]
["set interfaces ge-2/0/0 unit 0 family ethernet-switching vlan members 10", "port trunk allow-pass vlan 10"]
["set interfaces ge-2/0/0 enable", "stp enable"]
["set vlans v10", "vlan batch 10"]
