["set system host-name CE3", "sysname CE3"]
["set interfaces ge-1/0/0", "interface GigabitEthernet1/0/0"]
["set interfaces ge-1/0/0", "undo shutdown"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.3.1.1/30", "return"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.3.1.1/30", "ip address 10.3.1.1 255.255.255.252"]
["set interfaces lo0", "undo shutdown"]
["set interfaces lo0 unit 1 family inet address 5.5.5.5/32", "ip address 5.5.5.5 255.255.255.255"]
["set routing-options autonomous-system 65420", "bgp 65420"]
["set protocols bgp group EBGP", "user-group EBGP"]
["set protocols bgp group EBGP type external", "bgp 600"]
["set protocols bgp group EBGP peer-as 100", "bgp 100"]
["set protocols bgp group EBGP peer-as 100", "peer 100 ebgp-max-hop 10"]
["set protocols bgp group EBGP neighbor 10.3.1.2", "peer 10.3.1.2 as-number 100"]
["set protocols bgp group EBGP family inet unicast", "ipv6-family unicast"]
