hostname CE1
ipv6 pim rp-address 2001:db8:6::3
ip multicast-routing distributed
 interface GigabitEthernet1/0/0
 ipv6 enable
interface GigabitEthernet1/0/0
 interface GigabitEthernet1/0/0
 ipv6 enable
  !
  interface GigabitEthernet1/0/1
  interface GigabitEthernet0/0/2
interface GigabitEthernet1/0/1
 ipv6 enable
  !
  interface GigabitEthernet0/0/2
 interface GigabitEthernet1/0/0
 interface GigabitEthernet0/0/2
interface GigabitEthernet0/0/2
 interface GigabitEthernet1/0/0
 ipv6 enable
 interface GigabitEthernet1/0/1
 interface GigabitEthernet0/0/2
  !
