["set system host-name DeviceA", "hostname DeviceA"]
["set interfaces ge-1/0/0", "interface GigabitEthernet1/0/0"]
["set interfaces ge-1/0/0", "no shutdown"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.1.1.2/24", "end"]
["set interfaces ge-1/0/0 unit 0 family inet address 10.1.1.2/24", "ip address 10.1.1.2 255.255.255.0"]
["set interfaces ge-1/0/1", "no shutdown"]
["set interfaces ge-1/0/1 unit 0 family inet address 10.1.2.1/24", "ip address 10.1.2.1 255.255.255.0"]
["set protocols ospf area 0.0.0.0", "router ospf 1"]
["set protocols ospf area 0.0.0.0", "router-id 4.4.4.4"]
["set protocols ospf area 0.0.0.0", "network none 0.0.0.0 area 0"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/0.0", "no passive-interface GigabitEthernet1/0/0"]
["set protocols ospf area 0.0.0.0 interface ge-1/0/1.0", "no passive-interface GigabitEthernet1/0/1"]
